city_fips,town,year,population
1900190,"Ackley, IA",1990,1696
1900190,"Ackley, IA",1991,1691
1900190,"Ackley, IA",1992,1679
1900190,"Ackley, IA",1993,1670
1900190,"Ackley, IA",1994,1663
1900190,"Ackley, IA",1995,1659
1900190,"Ackley, IA",1996,1657
1900190,"Ackley, IA",1997,1657
1900190,"Ackley, IA",1998,1658
1900190,"Ackley, IA",1999,1648
1900190,"Ackley, IA",2000,1809
1900190,"Ackley, IA",2001,1780
1900190,"Ackley, IA",2002,1754
1900190,"Ackley, IA",2003,1730
1900190,"Ackley, IA",2004,1705
1900190,"Ackley, IA",2005,1678
1900190,"Ackley, IA",2006,1659
1900190,"Ackley, IA",2007,1641
1900190,"Ackley, IA",2008,1621
1900190,"Ackley, IA",2009,1597
1900190,"Ackley, IA",2010,1589
1900190,"Ackley, IA",2011,1575
1900190,"Ackley, IA",2012,1573
1900190,"Ackley, IA",2013,1560
1900190,"Ackley, IA",2014,1558
1900190,"Ackley, IA",2015,1546
1900190,"Ackley, IA",2016,1537
1900190,"Ackley, IA",2017,1520
1900190,"Ackley, IA",2018,1509
1900190,"Ackley, IA",2019,1498
1900595,"Afton, IA",1990,953
1900595,"Afton, IA",1991,944
1900595,"Afton, IA",1992,952
1900595,"Afton, IA",1993,960
1900595,"Afton, IA",1994,950
1900595,"Afton, IA",1995,948
1900595,"Afton, IA",1996,957
1900595,"Afton, IA",1997,944
1900595,"Afton, IA",1998,942
1900595,"Afton, IA",1999,945
1900595,"Afton, IA",2000,917
1900595,"Afton, IA",2001,888
1900595,"Afton, IA",2002,876
1900595,"Afton, IA",2003,857
1900595,"Afton, IA",2004,856
1900595,"Afton, IA",2005,853
1900595,"Afton, IA",2006,852
1900595,"Afton, IA",2007,850
1900595,"Afton, IA",2008,851
1900595,"Afton, IA",2009,850
1900595,"Afton, IA",2010,845
1900595,"Afton, IA",2011,846
1900595,"Afton, IA",2012,847
1900595,"Afton, IA",2013,849
1900595,"Afton, IA",2014,844
1900595,"Afton, IA",2015,826
1900595,"Afton, IA",2016,826
1900595,"Afton, IA",2017,829
1900595,"Afton, IA",2018,819
1900595,"Afton, IA",2019,815
1900775,"Akron, IA",1990,1450
1900775,"Akron, IA",1991,1441
1900775,"Akron, IA",1992,1445
1900775,"Akron, IA",1993,1452
1900775,"Akron, IA",1994,1468
1900775,"Akron, IA",1995,1466
1900775,"Akron, IA",1996,1474
1900775,"Akron, IA",1997,1470
1900775,"Akron, IA",1998,1454
1900775,"Akron, IA",1999,1458
1900775,"Akron, IA",2000,1489
1900775,"Akron, IA",2001,1474
1900775,"Akron, IA",2002,1468
1900775,"Akron, IA",2003,1475
1900775,"Akron, IA",2004,1487
1900775,"Akron, IA",2005,1484
1900775,"Akron, IA",2006,1485
1900775,"Akron, IA",2007,1480
1900775,"Akron, IA",2008,1481
1900775,"Akron, IA",2009,1481
1900775,"Akron, IA",2010,1486
1900775,"Akron, IA",2011,1502
1900775,"Akron, IA",2012,1498
1900775,"Akron, IA",2013,1494
1900775,"Akron, IA",2014,1491
1900775,"Akron, IA",2015,1483
1900775,"Akron, IA",2016,1494
1900775,"Akron, IA",2017,1479
1900775,"Akron, IA",2018,1467
1900775,"Akron, IA",2019,1463
1900910,"Albia, IA",1990,3870
1900910,"Albia, IA",1991,3941
1900910,"Albia, IA",1992,3950
1900910,"Albia, IA",1993,3916
1900910,"Albia, IA",1994,3901
1900910,"Albia, IA",1995,3896
1900910,"Albia, IA",1996,3852
1900910,"Albia, IA",1997,3844
1900910,"Albia, IA",1998,3812
1900910,"Albia, IA",1999,3790
1900910,"Albia, IA",2000,3706
1900910,"Albia, IA",2001,3765
1900910,"Albia, IA",2002,3720
1900910,"Albia, IA",2003,3752
1900910,"Albia, IA",2004,3760
1900910,"Albia, IA",2005,3755
1900910,"Albia, IA",2006,3740
1900910,"Albia, IA",2007,3726
1900910,"Albia, IA",2008,3734
1900910,"Albia, IA",2009,3743
1900910,"Albia, IA",2010,3766
1900910,"Albia, IA",2011,3814
1900910,"Albia, IA",2012,3815
1900910,"Albia, IA",2013,3771
1900910,"Albia, IA",2014,3750
1900910,"Albia, IA",2015,3789
1900910,"Albia, IA",2016,3755
1900910,"Albia, IA",2017,3734
1900910,"Albia, IA",2018,3712
1900910,"Albia, IA",2019,3681
1901135,"Algona, IA",1990,6015
1901135,"Algona, IA",1991,5960
1901135,"Algona, IA",1992,5948
1901135,"Algona, IA",1993,5939
1901135,"Algona, IA",1994,5987
1901135,"Algona, IA",1995,5991
1901135,"Algona, IA",1996,5955
1901135,"Algona, IA",1997,5952
1901135,"Algona, IA",1998,5910
1901135,"Algona, IA",1999,5922
1901135,"Algona, IA",2000,5741
1901135,"Algona, IA",2001,5708
1901135,"Algona, IA",2002,5653
1901135,"Algona, IA",2003,5640
1901135,"Algona, IA",2004,5648
1901135,"Algona, IA",2005,5635
1901135,"Algona, IA",2006,5594
1901135,"Algona, IA",2007,5571
1901135,"Algona, IA",2008,5541
1901135,"Algona, IA",2009,5560
1901135,"Algona, IA",2010,5560
1901135,"Algona, IA",2011,5524
1901135,"Algona, IA",2012,5531
1901135,"Algona, IA",2013,5510
1901135,"Algona, IA",2014,5485
1901135,"Algona, IA",2015,5460
1901135,"Algona, IA",2016,5502
1901135,"Algona, IA",2017,5449
1901135,"Algona, IA",2018,5417
1901135,"Algona, IA",2019,5397
1901495,"Alta, IA",1990,1820
1901495,"Alta, IA",1991,1881
1901495,"Alta, IA",1992,1891
1901495,"Alta, IA",1993,1910
1901495,"Alta, IA",1994,1890
1901495,"Alta, IA",1995,1883
1901495,"Alta, IA",1996,1875
1901495,"Alta, IA",1997,1838
1901495,"Alta, IA",1998,1812
1901495,"Alta, IA",1999,1817
1901495,"Alta, IA",2000,1865
1901495,"Alta, IA",2001,1833
1901495,"Alta, IA",2002,1837
1901495,"Alta, IA",2003,1830
1901495,"Alta, IA",2004,1818
1901495,"Alta, IA",2005,1824
1901495,"Alta, IA",2006,1826
1901495,"Alta, IA",2007,1827
1901495,"Alta, IA",2008,1839
1901495,"Alta, IA",2009,1858
1901495,"Alta, IA",2010,1883
1901495,"Alta, IA",2011,1928
1901495,"Alta, IA",2012,1968
1901495,"Alta, IA",2013,1980
1901495,"Alta, IA",2014,1970
1901495,"Alta, IA",2015,1946
1901495,"Alta, IA",2016,1955
1901495,"Alta, IA",2017,1949
1901495,"Alta, IA",2018,1927
1901495,"Alta, IA",2019,1903
1901585,"Alton, IA",1990,1063
1901585,"Alton, IA",1991,1110
1901585,"Alton, IA",1992,1124
1901585,"Alton, IA",1993,1146
1901585,"Alton, IA",1994,1150
1901585,"Alton, IA",1995,1152
1901585,"Alton, IA",1996,1146
1901585,"Alton, IA",1997,1144
1901585,"Alton, IA",1998,1145
1901585,"Alton, IA",1999,1147
1901585,"Alton, IA",2000,1095
1901585,"Alton, IA",2001,1130
1901585,"Alton, IA",2002,1136
1901585,"Alton, IA",2003,1139
1901585,"Alton, IA",2004,1149
1901585,"Alton, IA",2005,1157
1901585,"Alton, IA",2006,1171
1901585,"Alton, IA",2007,1185
1901585,"Alton, IA",2008,1197
1901585,"Alton, IA",2009,1210
1901585,"Alton, IA",2010,1216
1901585,"Alton, IA",2011,1229
1901585,"Alton, IA",2012,1244
1901585,"Alton, IA",2013,1255
1901585,"Alton, IA",2014,1263
1901585,"Alton, IA",2015,1267
1901585,"Alton, IA",2016,1268
1901585,"Alton, IA",2017,1259
1901585,"Alton, IA",2018,1257
1901585,"Alton, IA",2019,1248
1901855,"Ames, IA",1990,47198
1901855,"Ames, IA",1991,47195
1901855,"Ames, IA",1992,47406
1901855,"Ames, IA",1993,47889
1901855,"Ames, IA",1994,47647
1901855,"Ames, IA",1995,47597
1901855,"Ames, IA",1996,47907
1901855,"Ames, IA",1997,48391
1901855,"Ames, IA",1998,48407
1901855,"Ames, IA",1999,49166
1901855,"Ames, IA",2000,50731
1901855,"Ames, IA",2001,51123
1901855,"Ames, IA",2002,52652
1901855,"Ames, IA",2003,52720
1901855,"Ames, IA",2004,53305
1901855,"Ames, IA",2005,53512
1901855,"Ames, IA",2006,55035
1901855,"Ames, IA",2007,56567
1901855,"Ames, IA",2008,57477
1901855,"Ames, IA",2009,58669
1901855,"Ames, IA",2010,58965
1901855,"Ames, IA",2011,60440
1901855,"Ames, IA",2012,61427
1901855,"Ames, IA",2013,63053
1901855,"Ames, IA",2014,64773
1901855,"Ames, IA",2015,65685
1901855,"Ames, IA",2016,65915
1901855,"Ames, IA",2017,66301
1901855,"Ames, IA",2018,66001
1901855,"Ames, IA",2019,66258
1902260,"Anita, IA",1990,1068
1902260,"Anita, IA",1991,1072
1902260,"Anita, IA",1992,1068
1902260,"Anita, IA",1993,1072
1902260,"Anita, IA",1994,1076
1902260,"Anita, IA",1995,1072
1902260,"Anita, IA",1996,1079
1902260,"Anita, IA",1997,1078
1902260,"Anita, IA",1998,1072
1902260,"Anita, IA",1999,1070
1902260,"Anita, IA",2000,1049
1902260,"Anita, IA",2001,1039
1902260,"Anita, IA",2002,1018
1902260,"Anita, IA",2003,1016
1902260,"Anita, IA",2004,1004
1902260,"Anita, IA",2005,991
1902260,"Anita, IA",2006,989
1902260,"Anita, IA",2007,983
1902260,"Anita, IA",2008,976
1902260,"Anita, IA",2009,974
1902260,"Anita, IA",2010,972
1902260,"Anita, IA",2011,961
1902260,"Anita, IA",2012,954
1902260,"Anita, IA",2013,956
1902260,"Anita, IA",2014,953
1902260,"Anita, IA",2015,948
1902260,"Anita, IA",2016,930
1902260,"Anita, IA",2017,925
1902260,"Anita, IA",2018,909
1902260,"Anita, IA",2019,900
1903520,"Atlantic, IA",1990,7432
1903520,"Atlantic, IA",1991,7440
1903520,"Atlantic, IA",1992,7441
1903520,"Atlantic, IA",1993,7452
1903520,"Atlantic, IA",1994,7484
1903520,"Atlantic, IA",1995,7416
1903520,"Atlantic, IA",1996,7389
1903520,"Atlantic, IA",1997,7332
1903520,"Atlantic, IA",1998,7328
1903520,"Atlantic, IA",1999,7289
1903520,"Atlantic, IA",2000,7257
1903520,"Atlantic, IA",2001,7185
1903520,"Atlantic, IA",2002,7083
1903520,"Atlantic, IA",2003,7119
1903520,"Atlantic, IA",2004,7077
1903520,"Atlantic, IA",2005,7026
1903520,"Atlantic, IA",2006,7059
1903520,"Atlantic, IA",2007,7064
1903520,"Atlantic, IA",2008,7061
1903520,"Atlantic, IA",2009,7091
1903520,"Atlantic, IA",2010,7112
1903520,"Atlantic, IA",2011,7026
1903520,"Atlantic, IA",2012,6999
1903520,"Atlantic, IA",2013,6922
1903520,"Atlantic, IA",2014,6830
1903520,"Atlantic, IA",2015,6800
1903520,"Atlantic, IA",2016,6711
1903520,"Atlantic, IA",2017,6691
1903520,"Atlantic, IA",2018,6587
1903520,"Atlantic, IA",2019,6526
1903655,"Audubon, IA",1990,2524
1903655,"Audubon, IA",1991,2529
1903655,"Audubon, IA",1992,2492
1903655,"Audubon, IA",1993,2454
1903655,"Audubon, IA",1994,2436
1903655,"Audubon, IA",1995,2421
1903655,"Audubon, IA",1996,2409
1903655,"Audubon, IA",1997,2403
1903655,"Audubon, IA",1998,2391
1903655,"Audubon, IA",1999,2388
1903655,"Audubon, IA",2000,2382
1903655,"Audubon, IA",2001,2325
1903655,"Audubon, IA",2002,2297
1903655,"Audubon, IA",2003,2269
1903655,"Audubon, IA",2004,2258
1903655,"Audubon, IA",2005,2224
1903655,"Audubon, IA",2006,2208
1903655,"Audubon, IA",2007,2198
1903655,"Audubon, IA",2008,2195
1903655,"Audubon, IA",2009,2178
1903655,"Audubon, IA",2010,2176
1903655,"Audubon, IA",2011,2125
1903655,"Audubon, IA",2012,2073
1903655,"Audubon, IA",2013,2068
1903655,"Audubon, IA",2014,2020
1903655,"Audubon, IA",2015,1994
1903655,"Audubon, IA",2016,1954
1903655,"Audubon, IA",2017,1929
1903655,"Audubon, IA",2018,1892
1903655,"Audubon, IA",2019,1898
1905365,"Bedford, IA",1990,1528
1905365,"Bedford, IA",1991,1602
1905365,"Bedford, IA",1992,1578
1905365,"Bedford, IA",1993,1563
1905365,"Bedford, IA",1994,1555
1905365,"Bedford, IA",1995,1546
1905365,"Bedford, IA",1996,1539
1905365,"Bedford, IA",1997,1519
1905365,"Bedford, IA",1998,1513
1905365,"Bedford, IA",1999,1485
1905365,"Bedford, IA",2000,1620
1905365,"Bedford, IA",2001,1601
1905365,"Bedford, IA",2002,1580
1905365,"Bedford, IA",2003,1561
1905365,"Bedford, IA",2004,1545
1905365,"Bedford, IA",2005,1506
1905365,"Bedford, IA",2006,1508
1905365,"Bedford, IA",2007,1479
1905365,"Bedford, IA",2008,1453
1905365,"Bedford, IA",2009,1451
1905365,"Bedford, IA",2010,1440
1905365,"Bedford, IA",2011,1436
1905365,"Bedford, IA",2012,1429
1905365,"Bedford, IA",2013,1422
1905365,"Bedford, IA",2014,1407
1905365,"Bedford, IA",2015,1418
1905365,"Bedford, IA",2016,1406
1905365,"Bedford, IA",2017,1380
1905365,"Bedford, IA",2018,1392
1905365,"Bedford, IA",2019,1384
1905635,"Bellevue, IA",1990,2239
1905635,"Bellevue, IA",1991,2310
1905635,"Bellevue, IA",1992,2331
1905635,"Bellevue, IA",1993,2339
1905635,"Bellevue, IA",1994,2348
1905635,"Bellevue, IA",1995,2329
1905635,"Bellevue, IA",1996,2312
1905635,"Bellevue, IA",1997,2306
1905635,"Bellevue, IA",1998,2314
1905635,"Bellevue, IA",1999,2303
1905635,"Bellevue, IA",2000,2350
1905635,"Bellevue, IA",2001,2339
1905635,"Bellevue, IA",2002,2313
1905635,"Bellevue, IA",2003,2301
1905635,"Bellevue, IA",2004,2291
1905635,"Bellevue, IA",2005,2275
1905635,"Bellevue, IA",2006,2261
1905635,"Bellevue, IA",2007,2241
1905635,"Bellevue, IA",2008,2218
1905635,"Bellevue, IA",2009,2199
1905635,"Bellevue, IA",2010,2191
1905635,"Bellevue, IA",2011,2187
1905635,"Bellevue, IA",2012,2174
1905635,"Bellevue, IA",2013,2162
1905635,"Bellevue, IA",2014,2160
1905635,"Bellevue, IA",2015,2163
1905635,"Bellevue, IA",2016,2178
1905635,"Bellevue, IA",2017,2188
1905635,"Bellevue, IA",2018,2200
1905635,"Bellevue, IA",2019,2209
1905680,"Belmond, IA",1990,2500
1905680,"Belmond, IA",1991,2498
1905680,"Belmond, IA",1992,2513
1905680,"Belmond, IA",1993,2498
1905680,"Belmond, IA",1994,2507
1905680,"Belmond, IA",1995,2533
1905680,"Belmond, IA",1996,2532
1905680,"Belmond, IA",1997,2511
1905680,"Belmond, IA",1998,2496
1905680,"Belmond, IA",1999,2467
1905680,"Belmond, IA",2000,2560
1905680,"Belmond, IA",2001,2526
1905680,"Belmond, IA",2002,2494
1905680,"Belmond, IA",2003,2474
1905680,"Belmond, IA",2004,2471
1905680,"Belmond, IA",2005,2456
1905680,"Belmond, IA",2006,2435
1905680,"Belmond, IA",2007,2419
1905680,"Belmond, IA",2008,2400
1905680,"Belmond, IA",2009,2380
1905680,"Belmond, IA",2010,2376
1905680,"Belmond, IA",2011,2348
1905680,"Belmond, IA",2012,2353
1905680,"Belmond, IA",2013,2340
1905680,"Belmond, IA",2014,2330
1905680,"Belmond, IA",2015,2320
1905680,"Belmond, IA",2016,2329
1905680,"Belmond, IA",2017,2312
1905680,"Belmond, IA",2018,2288
1905680,"Belmond, IA",2019,2263
1907030,"Bloomfield, IA",1990,2580
1907030,"Bloomfield, IA",1991,2635
1907030,"Bloomfield, IA",1992,2635
1907030,"Bloomfield, IA",1993,2655
1907030,"Bloomfield, IA",1994,2667
1907030,"Bloomfield, IA",1995,2694
1907030,"Bloomfield, IA",1996,2667
1907030,"Bloomfield, IA",1997,2677
1907030,"Bloomfield, IA",1998,2671
1907030,"Bloomfield, IA",1999,2678
1907030,"Bloomfield, IA",2000,2601
1907030,"Bloomfield, IA",2001,2632
1907030,"Bloomfield, IA",2002,2633
1907030,"Bloomfield, IA",2003,2611
1907030,"Bloomfield, IA",2004,2627
1907030,"Bloomfield, IA",2005,2612
1907030,"Bloomfield, IA",2006,2618
1907030,"Bloomfield, IA",2007,2631
1907030,"Bloomfield, IA",2008,2624
1907030,"Bloomfield, IA",2009,2629
1907030,"Bloomfield, IA",2010,2640
1907030,"Bloomfield, IA",2011,2633
1907030,"Bloomfield, IA",2012,2615
1907030,"Bloomfield, IA",2013,2626
1907030,"Bloomfield, IA",2014,2606
1907030,"Bloomfield, IA",2015,2616
1907030,"Bloomfield, IA",2016,2658
1907030,"Bloomfield, IA",2017,2684
1907030,"Bloomfield, IA",2018,2669
1907030,"Bloomfield, IA",2019,2679
1907480,"Boone, IA",1990,12392
1907480,"Boone, IA",1991,12512
1907480,"Boone, IA",1992,12499
1907480,"Boone, IA",1993,12444
1907480,"Boone, IA",1994,12497
1907480,"Boone, IA",1995,12687
1907480,"Boone, IA",1996,12810
1907480,"Boone, IA",1997,12880
1907480,"Boone, IA",1998,12777
1907480,"Boone, IA",1999,12867
1907480,"Boone, IA",2000,12803
1907480,"Boone, IA",2001,12803
1907480,"Boone, IA",2002,12705
1907480,"Boone, IA",2003,12761
1907480,"Boone, IA",2004,12811
1907480,"Boone, IA",2005,12854
1907480,"Boone, IA",2006,12820
1907480,"Boone, IA",2007,12838
1907480,"Boone, IA",2008,12769
1907480,"Boone, IA",2009,12703
1907480,"Boone, IA",2010,12661
1907480,"Boone, IA",2011,12636
1907480,"Boone, IA",2012,12538
1907480,"Boone, IA",2013,12583
1907480,"Boone, IA",2014,12549
1907480,"Boone, IA",2015,12605
1907480,"Boone, IA",2016,12540
1907480,"Boone, IA",2017,12501
1907480,"Boone, IA",2018,12455
1907480,"Boone, IA",2019,12384
1908605,"Britt, IA",1990,2133
1908605,"Britt, IA",1991,2170
1908605,"Britt, IA",1992,2155
1908605,"Britt, IA",1993,2121
1908605,"Britt, IA",1994,2107
1908605,"Britt, IA",1995,2128
1908605,"Britt, IA",1996,2139
1908605,"Britt, IA",1997,2107
1908605,"Britt, IA",1998,2102
1908605,"Britt, IA",1999,2089
1908605,"Britt, IA",2000,2052
1908605,"Britt, IA",2001,2050
1908605,"Britt, IA",2002,2047
1908605,"Britt, IA",2003,2072
1908605,"Britt, IA",2004,2075
1908605,"Britt, IA",2005,2090
1908605,"Britt, IA",2006,2085
1908605,"Britt, IA",2007,2075
1908605,"Britt, IA",2008,2078
1908605,"Britt, IA",2009,2063
1908605,"Britt, IA",2010,2069
1908605,"Britt, IA",2011,2065
1908605,"Britt, IA",2012,2054
1908605,"Britt, IA",2013,2052
1908605,"Britt, IA",2014,2034
1908605,"Britt, IA",2015,2034
1908605,"Britt, IA",2016,2004
1908605,"Britt, IA",2017,1981
1908605,"Britt, IA",2018,1976
1908605,"Britt, IA",2019,1955
1908695,"Brooklyn, IA",1990,1439
1908695,"Brooklyn, IA",1991,1426
1908695,"Brooklyn, IA",1992,1425
1908695,"Brooklyn, IA",1993,1415
1908695,"Brooklyn, IA",1994,1415
1908695,"Brooklyn, IA",1995,1416
1908695,"Brooklyn, IA",1996,1416
1908695,"Brooklyn, IA",1997,1410
1908695,"Brooklyn, IA",1998,1403
1908695,"Brooklyn, IA",1999,1394
1908695,"Brooklyn, IA",2000,1367
1908695,"Brooklyn, IA",2001,1393
1908695,"Brooklyn, IA",2002,1401
1908695,"Brooklyn, IA",2003,1415
1908695,"Brooklyn, IA",2004,1427
1908695,"Brooklyn, IA",2005,1428
1908695,"Brooklyn, IA",2006,1444
1908695,"Brooklyn, IA",2007,1459
1908695,"Brooklyn, IA",2008,1459
1908695,"Brooklyn, IA",2009,1464
1908695,"Brooklyn, IA",2010,1468
1908695,"Brooklyn, IA",2011,1473
1908695,"Brooklyn, IA",2012,1460
1908695,"Brooklyn, IA",2013,1444
1908695,"Brooklyn, IA",2014,1440
1908695,"Brooklyn, IA",2015,1404
1908695,"Brooklyn, IA",2016,1399
1908695,"Brooklyn, IA",2017,1396
1908695,"Brooklyn, IA",2018,1400
1908695,"Brooklyn, IA",2019,1400
1909550,"Burlington, IA",1990,27208
1909550,"Burlington, IA",1991,27480
1909550,"Burlington, IA",1992,27511
1909550,"Burlington, IA",1993,27454
1909550,"Burlington, IA",1994,27348
1909550,"Burlington, IA",1995,27118
1909550,"Burlington, IA",1996,26938
1909550,"Burlington, IA",1997,26723
1909550,"Burlington, IA",1998,26642
1909550,"Burlington, IA",1999,26507
1909550,"Burlington, IA",2000,26839
1909550,"Burlington, IA",2001,26519
1909550,"Burlington, IA",2002,26093
1909550,"Burlington, IA",2003,26062
1909550,"Burlington, IA",2004,25763
1909550,"Burlington, IA",2005,25627
1909550,"Burlington, IA",2006,25548
1909550,"Burlington, IA",2007,25559
1909550,"Burlington, IA",2008,25585
1909550,"Burlington, IA",2009,25689
1909550,"Burlington, IA",2010,25663
1909550,"Burlington, IA",2011,25439
1909550,"Burlington, IA",2012,25541
1909550,"Burlington, IA",2013,25593
1909550,"Burlington, IA",2014,25467
1909550,"Burlington, IA",2015,25308
1909550,"Burlington, IA",2016,25120
1909550,"Burlington, IA",2017,24942
1909550,"Burlington, IA",2018,24839
1909550,"Burlington, IA",2019,24713
1910045,"Calmar, IA",1990,1026
1910045,"Calmar, IA",1991,1039
1910045,"Calmar, IA",1992,1044
1910045,"Calmar, IA",1993,1044
1910045,"Calmar, IA",1994,1043
1910045,"Calmar, IA",1995,1047
1910045,"Calmar, IA",1996,1041
1910045,"Calmar, IA",1997,1060
1910045,"Calmar, IA",1998,1075
1910045,"Calmar, IA",1999,1073
1910045,"Calmar, IA",2000,1058
1910045,"Calmar, IA",2001,1021
1910045,"Calmar, IA",2002,1016
1910045,"Calmar, IA",2003,1002
1910045,"Calmar, IA",2004,998
1910045,"Calmar, IA",2005,996
1910045,"Calmar, IA",2006,991
1910045,"Calmar, IA",2007,989
1910045,"Calmar, IA",2008,983
1910045,"Calmar, IA",2009,979
1910045,"Calmar, IA",2010,978
1910045,"Calmar, IA",2011,975
1910045,"Calmar, IA",2012,971
1910045,"Calmar, IA",2013,961
1910045,"Calmar, IA",2014,957
1910045,"Calmar, IA",2015,953
1910045,"Calmar, IA",2016,947
1910045,"Calmar, IA",2017,933
1910045,"Calmar, IA",2018,924
1910045,"Calmar, IA",2019,917
1911080,"Carroll, IA",1990,9579
1911080,"Carroll, IA",1991,9680
1911080,"Carroll, IA",1992,9797
1911080,"Carroll, IA",1993,9935
1911080,"Carroll, IA",1994,9958
1911080,"Carroll, IA",1995,10091
1911080,"Carroll, IA",1996,10124
1911080,"Carroll, IA",1997,10181
1911080,"Carroll, IA",1998,10267
1911080,"Carroll, IA",1999,10306
1911080,"Carroll, IA",2000,10106
1911080,"Carroll, IA",2001,10058
1911080,"Carroll, IA",2002,10053
1911080,"Carroll, IA",2003,10020
1911080,"Carroll, IA",2004,10008
1911080,"Carroll, IA",2005,10051
1911080,"Carroll, IA",2006,10011
1911080,"Carroll, IA",2007,10058
1911080,"Carroll, IA",2008,10024
1911080,"Carroll, IA",2009,10048
1911080,"Carroll, IA",2010,10103
1911080,"Carroll, IA",2011,10152
1911080,"Carroll, IA",2012,10048
1911080,"Carroll, IA",2013,10004
1911080,"Carroll, IA",2014,9997
1911080,"Carroll, IA",2015,9962
1911080,"Carroll, IA",2016,9934
1911080,"Carroll, IA",2017,9903
1911080,"Carroll, IA",2018,9835
1911080,"Carroll, IA",2019,9833
1911305,"Cascade, IA",1990,1812
1911305,"Cascade, IA",1991,1840
1911305,"Cascade, IA",1992,1862
1911305,"Cascade, IA",1993,1884
1911305,"Cascade, IA",1994,1911
1911305,"Cascade, IA",1995,1935
1911305,"Cascade, IA",1996,1957
1911305,"Cascade, IA",1997,1976
1911305,"Cascade, IA",1998,1991
1911305,"Cascade, IA",1999,1992
1911305,"Cascade, IA",2000,1958
1911305,"Cascade, IA",2001,2000
1911305,"Cascade, IA",2002,2012
1911305,"Cascade, IA",2003,2035
1911305,"Cascade, IA",2004,2055
1911305,"Cascade, IA",2005,2067
1911305,"Cascade, IA",2006,2085
1911305,"Cascade, IA",2007,2111
1911305,"Cascade, IA",2008,2127
1911305,"Cascade, IA",2009,2139
1911305,"Cascade, IA",2010,2159
1911305,"Cascade, IA",2011,2202
1911305,"Cascade, IA",2012,2208
1911305,"Cascade, IA",2013,2213
1911305,"Cascade, IA",2014,2250
1911305,"Cascade, IA",2015,2263
1911305,"Cascade, IA",2016,2274
1911305,"Cascade, IA",2017,2285
1911305,"Cascade, IA",2018,2300
1911305,"Cascade, IA",2019,2329
1911755,"Cedar Falls, IA",1990,34298
1911755,"Cedar Falls, IA",1991,34400
1911755,"Cedar Falls, IA",1992,34212
1911755,"Cedar Falls, IA",1993,34470
1911755,"Cedar Falls, IA",1994,34639
1911755,"Cedar Falls, IA",1995,34730
1911755,"Cedar Falls, IA",1996,34734
1911755,"Cedar Falls, IA",1997,34682
1911755,"Cedar Falls, IA",1998,34820
1911755,"Cedar Falls, IA",1999,34810
1911755,"Cedar Falls, IA",2000,36145
1911755,"Cedar Falls, IA",2001,36377
1911755,"Cedar Falls, IA",2002,36133
1911755,"Cedar Falls, IA",2003,36114
1911755,"Cedar Falls, IA",2004,36340
1911755,"Cedar Falls, IA",2005,36711
1911755,"Cedar Falls, IA",2006,37109
1911755,"Cedar Falls, IA",2007,37449
1911755,"Cedar Falls, IA",2008,38172
1911755,"Cedar Falls, IA",2009,38954
1911755,"Cedar Falls, IA",2010,39260
1911755,"Cedar Falls, IA",2011,39604
1911755,"Cedar Falls, IA",2012,39867
1911755,"Cedar Falls, IA",2013,40640
1911755,"Cedar Falls, IA",2014,41030
1911755,"Cedar Falls, IA",2015,41378
1911755,"Cedar Falls, IA",2016,41413
1911755,"Cedar Falls, IA",2017,41043
1911755,"Cedar Falls, IA",2018,40576
1911755,"Cedar Falls, IA",2019,40536
1912315,"Centerville, IA",1990,5936
1912315,"Centerville, IA",1991,5970
1912315,"Centerville, IA",1992,6002
1912315,"Centerville, IA",1993,6004
1912315,"Centerville, IA",1994,5915
1912315,"Centerville, IA",1995,5900
1912315,"Centerville, IA",1996,5897
1912315,"Centerville, IA",1997,5886
1912315,"Centerville, IA",1998,5923
1912315,"Centerville, IA",1999,5887
1912315,"Centerville, IA",2000,5924
1912315,"Centerville, IA",2001,5882
1912315,"Centerville, IA",2002,5806
1912315,"Centerville, IA",2003,5850
1912315,"Centerville, IA",2004,5811
1912315,"Centerville, IA",2005,5795
1912315,"Centerville, IA",2006,5731
1912315,"Centerville, IA",2007,5628
1912315,"Centerville, IA",2008,5563
1912315,"Centerville, IA",2009,5536
1912315,"Centerville, IA",2010,5528
1912315,"Centerville, IA",2011,5635
1912315,"Centerville, IA",2012,5562
1912315,"Centerville, IA",2013,5533
1912315,"Centerville, IA",2014,5538
1912315,"Centerville, IA",2015,5491
1912315,"Centerville, IA",2016,5455
1912315,"Centerville, IA",2017,5440
1912315,"Centerville, IA",2018,5445
1912315,"Centerville, IA",2019,5445
1912720,"Chariton, IA",1990,4616
1912720,"Chariton, IA",1991,4621
1912720,"Chariton, IA",1992,4555
1912720,"Chariton, IA",1993,4525
1912720,"Chariton, IA",1994,4476
1912720,"Chariton, IA",1995,4447
1912720,"Chariton, IA",1996,4419
1912720,"Chariton, IA",1997,4424
1912720,"Chariton, IA",1998,4385
1912720,"Chariton, IA",1999,4359
1912720,"Chariton, IA",2000,4573
1912720,"Chariton, IA",2001,4591
1912720,"Chariton, IA",2002,4584
1912720,"Chariton, IA",2003,4590
1912720,"Chariton, IA",2004,4651
1912720,"Chariton, IA",2005,4630
1912720,"Chariton, IA",2006,4531
1912720,"Chariton, IA",2007,4514
1912720,"Chariton, IA",2008,4443
1912720,"Chariton, IA",2009,4344
1912720,"Chariton, IA",2010,4321
