name,st,pop_2010,pop_2000,pop_1990,pop_1980,pop_1970,pop_1960,pop_1950,pop_1940,pop_1930,pop_1920,pop_1910,pop_1900
Aguilar,Colorado,538,593,520,624,699,777,1038,1397,1383,1236,858,698
Akron,Colorado,1702,1711,1599,1716,1775,1890,1605,1417,1135,1401,647,351
Alamosa,Colorado,8780,7960,7579,6830,6985,6205,5354,5613,5107,3171,3013,1141
Alma,Colorado,270,179,148,132,73,107,149,469,110,127,301,297
Antonito,Colorado,781,873,875,1103,1113,1045,1255,1220,858,946,681,347
Arriba,Colorado,193,244,220,236,254,296,367,286,337,334,0,0
Arvada,Colorado,106433,102153,89235,84576,49844,19242,2359,1482,1276,915,840,0
Aspen,Colorado,6658,5914,5049,3678,2437,1101,916,777,705,1265,1834,3303
Ault,Colorado,1519,1432,1107,1056,841,799,866,761,737,769,569,0
Aurora,Colorado,325078,276393,222103,158588,74974,48548,11421,3437,2295,983,679,202
Avon,Colorado,6447,5561,1798,640,0,0,0,0,0,0,0,0
Basalt,Colorado,3857,2681,1128,529,419,213,173,212,148,185,235,382
Bayfield,Colorado,2333,1549,1090,724,320,322,335,372,277,267,227,0
Bennett,Colorado,2308,2021,1757,942,613,287,272,199,211,0,0,0
Berthoud,Colorado,5105,4839,2990,2362,1446,1014,867,811,811,852,758,305
Bethune,Colorado,237,225,173,149,99,70,71,79,97,0,0,0
Black Hawk,Colorado,118,118,227,232,217,171,166,289,253,253,668,1200
Blanca,Colorado,385,391,272,252,212,233,376,407,252,380,0,0
Blue River,Colorado,849,685,440,230,8,0,0,0,0,0,0,0
Bonanza,Colorado,16,14,16,8,10,19,51,140,445,91,96,141
Boone,Colorado,339,323,341,431,448,548,0,0,0,0,0,0
Boulder,Colorado,97385,94673,83312,76685,66870,37718,19999,12958,11223,11006,9539,6150
Bow Mar,Colorado,866,847,854,930,945,748,0,0,0,0,0,0
Branson,Colorado,74,77,58,73,70,124,157,250,237,0,0,0
Breckenridge,Colorado,4540,2408,1285,818,548,393,296,381,436,796,834,976
Brighton,Colorado,33352,20905,14203,12773,8309,7055,4336,4029,3394,2715,850,366
Brookside,Colorado,233,219,183,178,173,163,175,196,198,202,0,0
Broomfield,Colorado,55889,38272,24638,20730,7261,4535,0,0,0,0,0,0
Brush,Colorado,5463,5117,4165,4082,3377,3621,2431,2481,2312,2103,997,381
Buena Vista,Colorado,2617,2195,1752,2075,1962,1806,783,779,751,903,1041,1006
Burlington,Colorado,4254,3678,2941,3107,2828,2090,2247,1280,1280,991,368,183
Calhan,Colorado,780,896,562,541,465,347,375,352,399,0,0,0
Campo,Colorado,109,150,121,185,206,235,266,0,0,0,0,0
Canon City,Colorado,16400,15431,12687,13037,9206,8973,6345,6690,5938,4551,5162,3775
Carbondale,Colorado,6427,5196,3004,2084,726,612,441,437,283,310,284,173
Castle Pines,Colorado,0,0,0,0,0,0,0,0,0,0,0,0
Castle Rock,Colorado,48231,20224,8708,3921,1531,1152,741,580,478,461,365,304
Cedaredge,Colorado,2253,1854,1380,1184,581,549,574,556,463,455,295,0
Centennial,Colorado,100377,0,0,0,0,0,0,0,0,0,0,0
Center,Colorado,2230,2392,1963,1630,1470,1600,2024,1515,1011,547,385,0
Central,Colorado,663,515,335,329,228,250,371,706,572,552,1782,3114
Cheraw,Colorado,252,211,265,233,129,173,174,184,293,186,0,0
Cherry Hills Village,Colorado,5987,5958,5245,5127,4605,1931,750,0,0,0,0,0
Cheyenne Wells,Colorado,846,1010,1128,950,982,1020,1154,695,595,508,270,0
Coal Creek,Colorado,343,303,157,190,225,206,195,261,435,618,676,698
Cokedale,Colorado,129,139,116,90,101,219,214,0,0,0,0,0
Collbran,Colorado,708,388,228,344,225,310,237,301,341,286,156,0
Colorado Springs,Colorado,416427,360890,281140,215105,135517,70194,45472,36789,33237,30105,29078,21085
Columbine Valley,Colorado,1256,1132,1071,923,481,0,0,0,0,0,0,0
Commerce,Colorado,45913,20991,16466,16234,17407,8970,0,0,0,0,0,0
Cortez,Colorado,8482,7977,7284,7095,6032,6764,2680,1778,921,541,565,125
Craig,Colorado,9464,9189,8091,8133,4205,3984,3080,2123,1418,1297,392,0
Crawford,Colorado,431,366,221,268,171,147,170,221,157,149,0,0
Creede,Colorado,290,377,362,610,653,350,503,670,384,500,741,938
Crested Butte,Colorado,1487,1529,878,959,372,289,730,1145,1251,1213,904,988
Crestone,Colorado,127,73,39,54,34,51,72,172,86,74,231,0
Cripple Creek,Colorado,1189,1115,584,655,425,614,853,2358,1427,2325,6206,10147
Crook,Colorado,110,128,148,177,199,209,259,236,251,232,0,0
Crowley,Colorado,176,187,225,192,216,265,379,318,323,224,0,0
Dacono,Colorado,4152,3015,2228,2321,360,302,258,296,275,172,180,0
De Beque,Colorado,504,451,257,279,155,172,253,280,347,292,149,83
Deer Trail,Colorado,546,598,476,463,374,764,421,387,390,0,0,0
Del Norte,Colorado,1686,1705,1674,1709,1569,1856,2048,1923,1410,1007,840,705
Delta,Colorado,8915,6400,3789,3931,3694,3832,4097,3717,2938,2623,2388,819
Denver,Colorado,600158,554636,467610,492686,514678,493887,415765,322412,287861,256491,213381,133859
Dillon,Colorado,904,802,553,337,182,814,191,161,92,126,134,143
Dinosaur,Colorado,339,319,324,313,247,318,281,0,0,0,0,0
Dolores,Colorado,936,857,866,802,820,805,729,804,557,465,320,108
Dove Creek,Colorado,735,698,643,826,619,986,702,418,0,0,0,0
Durango,Colorado,16887,13922,12430,11649,10333,10530,7459,5887,5400,4116,4686,3317
Eads,Colorado,609,747,780,878,795,929,1015,700,518,406,0,0
Eagle,Colorado,6508,3032,1580,950,790,546,445,518,341,358,186,124
Eaton,Colorado,4365,2690,1959,1932,1389,1267,1276,1322,1221,1289,1157,384
Eckley,Colorado,257,278,211,262,193,207,295,358,359,332,0,0
Edgewater,Colorado,5170,5445,4613,4766,4910,4314,2580,1648,1473,664,712,0
Elizabeth,Colorado,1358,1434,818,789,493,326,263,275,266,230,194,215
Empire,Colorado,282,355,401,423,249,110,228,174,93,105,179,276
Englewood,Colorado,30255,31727,29387,30021,33695,33398,16869,9680,7980,4356,2983,0
Erie,Colorado,18135,6291,1258,1254,1090,875,937,1019,930,697,596,697
Estes Park,Colorado,5858,5413,3184,2703,1616,1175,1617,994,417,0,0,0
Evans,Colorado,18537,9514,5877,5063,2570,1453,862,792,540,505,600,400
Fairplay,Colorado,679,610,387,421,419,404,476,739,221,183,265,319
Federal Heights,Colorado,11467,12065,9342,7838,1502,391,173,0,0,0,0,0
Firestone,Colorado,10147,1908,1358,1204,570,276,297,262,240,214,110,0
Flagler,Colorado,561,612,564,550,615,693,793,506,540,544,0,0
Fleming,Colorado,408,426,344,388,349,384,377,400,365,518,0,0
Florence,Colorado,3881,3653,2990,2987,2846,2821,2773,2632,2475,2629,2712,3728
Fort Collins,Colorado,143986,118652,87758,65092,43337,25027,14937,12251,11489,8755,8210,3053
Fort Lupton,Colorado,7377,6787,5159,4251,2489,2194,1907,1692,1578,1014,614,214
Fort Morgan,Colorado,11315,11034,9068,8768,7594,7379,5315,4884,4423,3818,2800,634
Fountain,Colorado,25846,15197,9984,8324,3515,1602,713,571,577,595,431,0
Fowler,Colorado,1182,1206,1154,1227,1241,1240,1025,922,968,1062,925,0
Foxfield,Colorado,685,746,0,0,0,0,0,0,0,0,0,0
Fraser,Colorado,1224,910,575,470,221,253,0,0,0,0,0,0
Frederick,Colorado,8679,2467,988,855,696,595,599,652,596,361,266,0
Frisco,Colorado,2683,2443,1601,1221,471,316,87,60,18,0,0,0
Fruita,Colorado,12646,6478,4045,2810,1822,1830,1463,1486,1053,1193,881,126
Garden,Colorado,234,357,199,85,142,129,104,87,0,0,0,0
Genoa,Colorado,139,211,167,165,161,185,257,214,218,0,0,0
Georgetown,Colorado,1034,1088,891,830,542,307,329,391,303,703,950,1418
Gilcrest,Colorado,1034,1162,1084,1025,382,357,429,352,324,222,0,0
Glendale,Colorado,4184,4547,2453,2496,765,468,0,0,0,0,0,0
Glenwood Springs,Colorado,9614,7736,6561,4637,4106,3637,2412,2253,1825,2073,2019,1350
Golden,Colorado,18867,17159,13116,12237,9817,7118,5238,3175,2426,2135,2477,2152
Granada,Colorado,517,640,513,557,551,593,551,342,352,308,359,204
Granby,Colorado,1864,1525,966,963,554,503,463,251,90,32,40,0
Grand Junction,Colorado,58566,41986,29034,27956,20170,18694,14504,12479,10247,8665,7754,3503
Grand Lake,Colorado,471,447,259,382,189,170,309,0,0,0,0,0
Greeley,Colorado,92889,76930,60536,53006,38902,26314,20354,15995,12203,10958,8179,3023
Green Mountain Falls,Colorado,640,773,663,607,359,179,106,87,41,100,30,40
Greenwood Village,Colorado,13925,11035,7589,5729,3095,572,0,0,0,0,0,0
Grover,Colorado,137,153,135,158,121,133,146,137,165,195,0,0
Gunnison,Colorado,5854,5409,4636,5785,4613,3477,2770,2177,1415,1329,1026,1200
Gypsum,Colorado,6477,3654,1750,743,420,358,345,245,165,164,0,0
Hartman,Colorado,81,111,108,122,129,164,181,148,269,175,0,0
Haswell,Colorado,68,84,62,126,135,169,163,163,156,0,0,0
Haxtun,Colorado,946,982,952,1014,899,990,1006,985,1027,1118,341,0
Hayden,Colorado,1810,1634,1444,1720,763,764,767,640,554,455,314,0
Hillrose,Colorado,264,254,169,213,121,157,190,177,210,0,0,0
Holly,Colorado,802,1048,877,969,993,1108,1236,864,971,940,724,364
Holyoke,Colorado,2313,2261,1931,2092,1640,1555,1558,1150,1226,1205,659,451
Hooper,Colorado,103,123,112,71,80,58,103,170,155,156,131,177
Hot Sulphur Springs,Colorado,663,521,347,405,220,237,263,235,142,123,182,0
Hotchkiss,Colorado,944,968,744,849,507,626,715,653,541,572,600,261
Hudson,Colorado,2356,1565,918,698,518,430,365,295,346,322,0,0
Hugo,Colorado,730,885,660,776,759,811,943,852,712,838,343,0
Idaho Springs,Colorado,1717,1889,1834,2077,2003,1480,1769,2112,1207,1192,2154,2502
Ignacio,Colorado,697,669,720,667,613,609,526,555,464,290,0,0
Iliff,Colorado,266,213,174,218,193,204,235,322,266,238,0,0
Jamestown,Colorado,274,205,251,223,185,107,118,190,69,150,157,164
Johnstown,Colorado,9887,3827,1579,1535,1191,976,897,961,767,274,198,0
Julesburg,Colorado,1225,1467,1295,1528,1578,1840,1951,1619,1467,1320,962,371
Keenesburg,Colorado,1127,855,570,541,427,409,432,284,297,164,0,0
Kersey,Colorado,1454,1389,980,913,474,378,304,268,307,319,304,0
Kim,Colorado,74,65,76,100,0,0,0,0,0,0,0,0
Kiowa,Colorado,723,581,275,206,235,195,173,195,185,148,0,0
Kit Carson,Colorado,233,253,305,278,220,356,379,333,0,0,0,0
Kremmling,Colorado,1444,1578,1166,1296,764,576,623,567,261,254,141,0
La Jara,Colorado,818,877,725,858,768,724,912,897,602,521,448,208
La Junta,Colorado,7077,7568,7637,8338,8205,8026,7712,7040,7193,4964,4154,2513
La Salle,Colorado,1955,1849,1783,1929,1227,1070,797,755,564,460,0,0
La Veta,Colorado,800,924,726,611,589,632,701,897,782,737,691,254
Lafayette,Colorado,24453,23197,14548,8985,3498,2612,2090,2052,1842,1815,1892,970
Lake City,Colorado,408,375,223,206,91,106,141,185,259,317,405,700
Lakeside,Colorado,8,20,11,19,17,28,46,39,49,36,103,0
Lakewood,Colorado,142980,144126,126481,113808,92743,19338,0,0,0,0,0,0
Lamar,Colorado,7804,8869,8343,7713,7797,7369,6829,4445,4233,2512,2977,987
Larkspur,Colorado,183,234,232,141,0,0,0,0,0,0,0,0
Las Animas,Colorado,2410,2758,2481,2818,3148,3402,3223,3232,2517,2252,2008,1192
Leadville,Colorado,2602,2821,2629,3879,4314,4008,4081,4774,3771,4959,7508,12455
Limon,Colorado,1880,2071,1831,1805,1814,1811,1471,1053,1100,1047,534,0
Littleton,Colorado,41737,40340,33685,28631,26466,13670,3378,2244,2019,1636,1373,738
Lochbuie,Colorado,4726,2049,1168,895,0,0,0,0,0,0,0,0
Log Lane Village,Colorado,873,1006,667,709,329,310,0,0,0,0,0,0
Lone Tree,Colorado,10218,4873,0,0,0,0,0,0,0,0,0,0
Longmont,Colorado,86270,71093,51555,42942,23209,11489,8099,7406,6029,5848,4256,2201
Louisville,Colorado,18376,18937,12361,5593,2409,2073,1978,2023,1681,1799,1706,966
Loveland,Colorado,66859,50608,37352,30215,16220,9734,6773,6145,5506,5065,3651,1091
Lyons,Colorado,2033,1585,1227,1137,958,706,689,654,567,570,632,547
Manassa,Colorado,991,1042,988,945,814,831,832,1008,953,906,788,739
Mancos,Colorado,1336,1119,842,870,709,832,785,748,646,682,567,383
Manitou Springs,Colorado,4992,4980,4535,4475,4278,3626,2580,1462,1205,1129,1357,1303
Manzanola,Colorado,434,525,437,459,451,562,543,531,578,562,428,0
Marble,Colorado,131,105,64,30,13,5,8,240,217,81,782,101
Mead,Colorado,3405,2017,456,356,195,192,186,191,152,145,114,0
Meeker,Colorado,2475,2242,2098,2356,1597,1655,1658,1399,1069,935,807,507
Merino,Colorado,284,246,238,255,260,268,209,259,230,263,0,0
Milliken,Colorado,5610,2888,1605,1506,702,630,510,531,483,372,0,0
Minturn,Colorado,1027,1068,1066,1060,706,662,509,596,400,298,241,0
Moffat,Colorado,116,114,99,105,98,104,109,149,0,0,0,0
Monte Vista,Colorado,4444,4529,4324,3902,3909,3385,3272,3208,2610,2484,2544,556
Montezuma,Colorado,65,42,60,0,0,17,48,59,38,69,134,40
Montrose,Colorado,19132,12344,8854,8722,6496,5044,4964,4764,3566,3581,3254,1217
Monument,Colorado,5530,1971,1020,690,393,204,126,175,192,192,149,156
Morrison,Colorado,428,430,465,478,439,426,306,216,177,195,251,0
Mount Crested Butte,Colorado,801,707,264,272,0,0,0,0,0,0,0,0
Mountain View,Colorado,507,569,550,584,706,826,878,711,664,372,390,0
Mountain Village,Colorado,1320,978,0,0,0,0,0,0,0,0,0,0
Naturita,Colorado,546,635,434,819,820,979,0,0,0,0,0,0
Nederland,Colorado,1445,1394,1099,1212,492,272,266,384,285,291,446,0
New Castle,Colorado,4518,1984,679,563,499,447,483,484,470,447,493,431
Northglenn,Colorado,35789,31575,27195,29847,27785,0,0,0,0,0,0,0
Norwood,Colorado,518,438,429,478,408,443,294,412,299,365,212,0
Nucla,Colorado,711,734,656,1027,949,906,457,361,221,217,0,0
Nunn,Colorado,416,471,324,295,269,228,182,190,196,149,143,0
Oak Creek,Colorado,884,849,673,929,492,666,1488,1769,1211,967,222,0
Olathe,Colorado,1849,1573,1263,1262,756,773,810,705,593,491,458,0
Olney Springs,Colorado,345,389,340,253,264,263,279,260,228,240,0,0
Ophir,Colorado,159,113,69,38,6,0,2,2,0,0,124,127
Orchard,Colorado,3119,2880,2218,1914,1163,1021,956,865,0,531,0,0
Ordway,Colorado,1080,1248,1025,1135,1017,1254,1290,1150,1139,1186,705,138
Otis,Colorado,475,534,451,534,521,568,532,498,529,467,0,0
Ouray,Colorado,1000,813,644,684,741,785,1089,951,707,1165,1644,2196
Ovid,Colorado,318,330,349,439,463,571,664,687,649,0,0,0
Pagosa Springs,Colorado,1727,1591,1207,1331,1360,1374,1379,1591,804,1032,669,367
Palisade,Colorado,2692,2579,1871,1551,874,860,861,855,851,855,900,0
Palmer Lake,Colorado,2420,2179,1480,1130,947,542,263,269,244,160,163,166
Paoli,Colorado,34,42,29,81,52,81,91,85,0,0,0,0
Paonia,Colorado,1451,1497,1403,1425,1161,1083,1257,1117,958,925,1007,0
Parachute,Colorado,1085,1006,658,338,270,245,296,230,209,228,268,0
Parker,Colorado,45297,23558,5450,0,0,0,0,0,0,0,0,0
Peetz,Colorado,238,227,179,220,186,218,232,207,244,322,0,0
Pierce,Colorado,834,884,823,878,452,424,372,343,281,327,0,0
Pitkin,Colorado,66,124,53,59,44,94,152,156,228,165,250,203
Platteville,Colorado,2485,2370,1515,1662,683,582,570,561,533,479,430,263
Poncha Springs,Colorado,737,466,244,321,198,201,114,94,80,37,43,97
Pritchett,Colorado,140,137,153,183,170,247,286,495,451,0,0,0
Pueblo,Colorado,106595,102121,98640,101686,97774,91181,63685,52162,50096,43050,41747,28157
Ramah,Colorado,123,117,94,119,101,109,142,186,171,0,0,0
Rangely,Colorado,2365,2096,2278,2113,1591,1464,808,0,0,0,0,0
Raymer,Colorado,96,91,98,80,68,91,130,169,254,267,0,0
Red Cliff,Colorado,267,289,297,409,621,586,556,715,544,347,383,256
Rico,Colorado,265,205,92,76,275,353,212,388,447,326,368,811
Ridgway,Colorado,924,713,423,369,262,254,209,354,239,400,376,245
Rifle,Colorado,9172,6784,4636,3215,2150,2135,1525,1373,1287,865,698,273
Rockvale,Colorado,487,426,321,338,359,413,380,575,710,1249,1413,870
Rocky Ford,Colorado,3957,4286,4162,4804,4859,4929,4087,3493,3426,3746,3230,2018
Romeo,Colorado,404,375,341,308,352,339,404,392,188,0,0,0
Rye,Colorado,153,202,168,232,207,179,166,163,0,0,0,0
Saguache,Colorado,485,578,584,656,642,722,1024,1219,1010,948,620,389
Salida,Colorado,5236,5504,4737,4870,4355,4560,4553,4969,5065,4689,4425,3722
San Luis,Colorado,629,739,800,842,781,0,0,0,0,0,0,0
Sanford,Colorado,879,817,750,687,638,679,666,736,597,555,564,0
Sawpit,Colorado,40,25,36,41,26,30,0,0,0,0,121,94
Sedgwick,Colorado,146,191,183,258,208,299,332,373,444,380,0,0
Seibert,Colorado,181,180,181,180,192,210,346,249,273,311,0,0
Severance,Colorado,3165,597,106,102,59,70,108,138,0,0,0,0
Sheridan,Colorado,5664,5600,4976,5377,4787,3559,1715,712,587,455,498,442
Sheridan Lake,Colorado,88,66,95,87,86,90,0,0,0,0,0,0
Silt,Colorado,2930,1740,1095,923,434,384,361,359,264,165,0,0
Silver Cliff,Colorado,587,512,322,280,126,153,217,309,201,241,250,576
Silver Plume,Colorado,170,203,134,140,164,86,136,139,126,272,460,775
Silverthorne,Colorado,3887,3196,1768,989,400,0,0,0,0,0,0,0
Silverton,Colorado,637,531,716,794,797,822,1375,1127,1301,1150,2153,1360
Simla,Colorado,618,663,481,494,460,450,424,421,351,387,0,0
Snowmass Village,Colorado,2826,1822,1449,999,0,0,0,0,0,0,0,0
South Fork,Colorado,386,604,0,0,0,0,0,0,0,0,0,0
Springfield,Colorado,1451,1562,1475,1657,1660,1791,2041,1082,1393,295,0,0
Starkville,Colorado,59,128,104,127,166,261,0,0,0,0,0,0
Steamboat Springs,Colorado,12088,9815,6695,5098,2340,1843,1913,1613,1198,1249,1227,0
Sterling,Colorado,14777,11360,10362,11385,10636,10751,7534,7411,7195,6415,3044,998
Stratton,Colorado,658,669,649,705,790,680,720,623,507,421,0,0
Sugar,Colorado,258,279,252,306,307,409,527,565,598,836,808,689
Superior,Colorado,12483,9011,255,208,171,173,134,205,160,233,349,0
Swink,Colorado,617,696,584,668,381,348,336,374,418,465,310,0
Telluride,Colorado,2325,2221,1309,1047,553,677,1101,1337,512,1618,1756,2446
Thornton,Colorado,118772,82384,55031,42054,13326,11353,0,0,0,0,0,0
Timnath,Colorado,625,223,190,185,177,150,177,147,169,0,0,0
Trinidad,Colorado,9096,9078,8580,9663,9901,10691,12204,13223,11732,10906,10204,5345
Two Buttes,Colorado,43,67,63,84,138,111,121,158,158,93,0,0
Vail,Colorado,5305,4531,3659,2261,484,0,0,0,0,0,0,0
Victor,Colorado,397,445,258,265,258,434,684,1784,1291,1777,3162,4986
Vilas,Colorado,114,110,105,118,83,107,132,129,0,0,0,0
Vona,Colorado,106,95,104,94,114,130,209,226,183,268,0,0
Walden,Colorado,608,734,890,947,907,809,696,668,284,260,162,141
Walsenburg,Colorado,3068,4182,3300,3945,4329,5071,5596,5855,5503,3565,2423,1033
Walsh,Colorado,546,723,692,884,989,856,897,406,454,0,0,0
Ward,Colorado,150,169,159,129,32,9,10,118,34,74,129,300
Wellington,Colorado,6289,2672,1340,1215,691,532,541,465,533,439,459,0
Westcliffe,Colorado,568,417,312,324,243,306,390,429,335,338,232,256
Westminster,Colorado,106114,100940,74625,50211,19512,13850,1686,534,436,235,0,0
Wheat Ridge,Colorado,30166,32913,29419,30293,29778,21619,0,0,0,0,0,0
Wiggins,Colorado,893,838,499,531,0,0,0,0,0,0,0,0
Wiley,Colorado,405,483,406,425,357,383,417,413,589,565,197,0
Williamsburg,Colorado,662,714,253,72,75,57,65,97,155,402,556,337
Windsor,Colorado,18644,9896,5062,4277,1564,1509,1548,1811,1852,1290,935,305
Winter Park,Colorado,999,662,528,480,0,0,0,0,0,0,0,0
Woodland Park,Colorado,7200,6515,4610,2634,1022,666,391,372,194,125,163,269
Wray,Colorado,2342,2187,1998,2131,1953,2082,2198,2061,1785,1538,1000,271
Yampa,Colorado,429,443,317,472,286,312,421,426,310,200,332,0
Yuma,Colorado,3524,3285,2719,2824,2259,1919,1908,1606,1360,1177,333,139
Ackley,Iowa,1589,1809,1696,1900,1794,1731,1608,1586,1524,1529,1244,1445
Ackworth,Iowa,83,85,66,83,111,77,95,67,82,95,119,134
Adair,Iowa,781,839,894,883,750,742,827,874,950,952,900,879
Adel,Iowa,3682,3435,3304,2846,2419,2060,1799,1740,1669,1455,1289,1213
Afton,Iowa,845,917,953,985,823,773,936,987,1013,926,1014,1178
Agency,Iowa,638,622,616,657,610,702,524,452,371,429,322,408
Ainsworth,Iowa,567,524,506,547,455,371,396,415,359,391,408,404
Akron,Iowa,1486,1489,1450,1517,1324,1351,1251,1314,1304,1324,1130,1029
Albert City,Iowa,699,709,779,818,683,722,736,759,563,567,261,0
Albia,Iowa,3766,3706,3870,4184,4151,4582,4838,5157,4425,5067,4969,2889
Albion,Iowa,505,592,585,739,772,588,492,476,436,392,457,440
Alburnett,Iowa,673,559,456,411,418,341,254,208,199,201,0,0
Alden,Iowa,787,904,855,953,876,838,829,682,793,840,699,709
Alexander,Iowa,175,165,170,190,249,294,278,324,334,315,262,0
Algona,Iowa,5560,5741,6015,6289,6032,5702,5415,4954,3985,3724,2908,2911
Alleman,Iowa,432,439,340,307,0,0,0,0,0,0,0,0
Allerton,Iowa,501,559,599,670,643,692,761,782,784,954,862,950
Allison,Iowa,1029,1006,1000,1132,1071,952,771,708,603,520,495,463
Alta,Iowa,1883,1865,1820,1720,1717,1393,1348,1269,1297,1290,959,861
Alta Vista,Iowa,266,286,246,314,283,276,312,333,293,355,356,179
Alton,Iowa,1216,1095,1063,986,1018,1048,1038,1025,1014,1007,1046,1009
Altoona,Iowa,14541,10345,7191,5764,2883,1458,763,640,514,502,438,328
Alvord,Iowa,196,187,204,246,204,238,263,306,313,359,283,249
Ames,Iowa,58965,50731,47198,45775,39505,27003,22898,12555,10261,6270,4223,2422
Anamosa,Iowa,5533,5494,5100,4958,4389,4616,3910,4069,3579,2881,2983,2891
Andover,Iowa,103,87,99,107,90,91,80,72,76,83,51,0
Andrew,Iowa,434,460,319,349,335,349,280,263,212,289,307,273
Anita,Iowa,972,1049,1068,1153,1101,1233,1112,1088,1106,1236,1118,968
Ankeny,Iowa,45582,27117,18482,15429,9151,2964,1229,779,632,648,445,0
Anthon,Iowa,565,649,638,687,711,681,770,881,826,783,635,437
Aplington,Iowa,1128,1054,1034,1027,936,840,702,588,622,598,448,427
Arcadia,Iowa,484,443,485,454,414,437,425,410,391,375,390,405
Archer,Iowa,131,126,131,134,134,209,167,178,150,184,351,0
Aredale,Iowa,74,89,88,88,126,151,204,225,204,0,0,0
Arion,Iowa,108,136,148,207,199,201,220,271,269,242,168,192
Arispe,Iowa,100,89,92,89,93,125,110,149,133,156,155,0
Arlington,Iowa,429,490,465,498,481,614,661,675,706,729,678,863
Armstrong,Iowa,926,979,1025,1153,1061,958,943,937,767,818,586,907
Arnolds Park,Iowa,1126,1162,953,1051,970,953,1078,855,597,478,273,251
Arthur,Iowa,206,245,272,288,273,265,243,254,249,290,215,162
Asbury,Iowa,4170,2450,2013,2017,410,71,52,27,0,0,0,0
Ashton,Iowa,458,461,462,441,483,615,588,620,568,610,518,513
Aspinwall,Iowa,40,58,52,65,81,95,107,88,107,125,0,0
Atalissa,Iowa,311,283,357,360,244,212,204,181,187,198,220,0
Atkins,Iowa,1670,977,637,678,581,527,387,530,314,202,0,0
Atlantic,Iowa,7112,7257,7432,7789,7306,6890,6480,5802,5585,5329,4560,5046
Auburn,Iowa,322,296,283,320,329,367,350,383,359,406,399,293
Audubon,Iowa,2176,2382,2524,2841,2907,2928,2808,2409,2255,2108,1923,1866
Aurelia,Iowa,1036,1062,1034,1143,1065,904,807,752,723,708,625,621
Aurora,Iowa,185,194,196,248,229,223,225,276,281,284,287,331
Avoca,Iowa,1506,1610,1497,1650,1535,1540,1595,1598,1673,1482,1520,1627
Ayrshire,Iowa,143,202,195,243,243,298,334,391,343,361,337,329
Badger,Iowa,561,610,569,653,465,340,301,251,254,244,212,240
Bagley,Iowa,303,354,303,370,365,406,392,427,477,505,483,355
Baldwin,Iowa,109,127,137,198,172,228,208,210,224,232,229,254
Balltown,Iowa,68,73,64,106,79,43,49,56,0,0,0,0
Bancroft,Iowa,732,808,857,1082,1103,1000,901,959,854,902,830,839
Bankston,Iowa,25,27,35,40,28,36,40,29,0,0,0,0
Barnes City,Iowa,176,201,221,266,238,273,326,414,375,473,307,274
Barnum,Iowa,191,195,174,198,147,154,193,184,148,137,154,175
Bassett,Iowa,66,74,74,128,152,130,125,147,149,135,130,149
Batavia,Iowa,499,500,520,525,525,533,524,474,478,560,560,533
Battle Creek,Iowa,713,743,818,919,837,786,873,827,804,785,527,542
Baxter,Iowa,1101,1052,938,951,788,681,618,623,569,571,527,427
Bayard,Iowa,471,536,511,637,628,597,634,703,477,505,488,494
Beacon,Iowa,494,518,509,530,338,718,371,382,350,381,623,953
Beaconsfield,Iowa,15,11,27,39,48,71,104,148,201,170,148,177
Beaman,Iowa,191,210,183,219,222,247,191,167,183,214,220,266
Beaver,Iowa,48,53,46,85,113,115,114,126,111,132,0,0
Bedford,Iowa,1440,1620,1528,1692,1733,1807,2000,2151,2100,2073,1883,1977
Belle Plaine,Iowa,2534,2878,2834,2903,2810,2923,3056,3202,3289,3887,3121,3283
Bellevue,Iowa,2191,2350,2239,2450,2336,2181,1932,1771,1717,1663,1776,1607
Belmond,Iowa,2376,2560,2500,2505,2358,2506,2169,2109,1733,1797,1224,1234
Bennett,Iowa,405,395,395,458,385,374,357,352,305,362,243,238
Benton,Iowa,41,40,39,33,46,84,128,189,173,246,191,192
Berkley,Iowa,32,24,39,49,56,58,71,105,82,68,0,0
Bernard,Iowa,112,97,123,130,148,173,149,111,123,105,95,113
Bertram,Iowa,294,681,201,216,177,170,128,90,102,96,0,0
Bettendorf,Iowa,33217,31275,28132,27381,22126,11534,5132,3143,2768,2178,909,0
Bevington,Iowa,63,58,67,60,54,55,48,35,50,71,0,0
Birmingham,Iowa,448,423,386,410,452,441,643,498,507,539,572,622
Blairsburg,Iowa,215,235,269,288,287,287,257,276,274,272,241,0
Blairstown,Iowa,692,682,672,695,612,583,523,525,488,540,532,592
Blakesburg,Iowa,296,374,333,404,403,401,401,442,397,380,344,0
Blanchard,Iowa,38,61,67,101,139,174,214,259,347,429,408,520
Blencoe,Iowa,224,231,250,247,255,286,328,367,333,317,283,279
Blockton,Iowa,192,192,213,280,273,343,407,488,537,524,648,704
Bloomfield,Iowa,2640,2601,2580,2849,2718,2771,2688,2732,2226,2064,2028,2105
Blue Grass,Iowa,1452,1169,1214,1377,1032,568,337,287,246,205,223,0
Bode,Iowa,302,327,335,406,372,430,492,533,507,513,419,409
Bonaparte,Iowa,433,458,465,489,517,574,642,653,678,656,597,898
Bondurant,Iowa,3860,1846,1584,1283,462,389,328,320,289,274,287,297
Boone,Iowa,12661,12803,12392,12602,12468,12468,12164,12373,11886,12451,10347,8880
